gene_name	gene_id	chr_hg38	start_hg38	end_hg38	strand_hg38	tss_hg38	chr_hg19	tss_hg19
IGLV3-2	ENSG00000253963	22	22873212	22873440	+	22873212	chr22	23215391
IGLV3-1	ENSG00000211673	22	22880706	22881396	+	22880706	chr22	23222886
MIR5571	ENSG00000264824	22	22886267	22886379	+	22886267	chr22	23228447
IGLL5	ENSG00000254709	22	22887780	22896107	+	22887780	chr22	23229960
IGLJ1	ENSG00000211674	22	22893692	22893818	+	22893692	chr22	23235872
IGLC1	ENSG00000211675	22	22895375	22895834	+	22895375	chr22	23237555
IGLJ2	ENSG00000211676	22	22899481	22899655	+	22899481	chr22	23241661
IGLC2	ENSG00000211677	22	22900976	22901437	+	22900976	chr22	23243156
IGLJ3	ENSG00000211678	22	22904850	22905025	+	22904850	chr22	23247030
IGLC3	ENSG00000211679	22	22906342	22906803	+	22906342	chr22	23248512
IGLJ4	ENSG00000211680	22	22910574	22910606	+	22910574	chr22	23252744
IGLC4	ENSG00000254029	22	22910828	22911075	+	22910828	chr22	23252998
IGLJ5	ENSG00000211681	22	22914237	22914308	+	22914237	chr22	23256408
IGLC5	ENSG00000254030	22	22915635	22915927	+	22915635	chr22	23257805
IGLJ6	ENSG00000211682	22	22918132	22918201	+	22918132	chr22	23260304
IGLC6	ENSG00000222037	22	22919535	22919851	+	22919535	chr22	23261707
IGLJ7	ENSG00000211684	22	22921390	22921435	+	22921390	chr22	23263562
IGLC7	ENSG00000211685	22	22922594	22923034	+	22922594	chr22	23264766
AC245054.2	ENSG00000237472	22	22988263	22988581	+	22988263	chr22	23330438
AC245054.1	ENSG00000223679	22	22990690	23008356	+	22990690	chr22	23332865
RSPH14	ENSG00000100218	22	23059415	23145021	-	23145021	chr22	23487208
GNAZ	ENSG00000128266	22	23070361	23125037	+	23070361	chr22	23412547
Metazoa_SRP	ENSG00000283438	22	23132730	23133005	-	23133005	chr22	23475192
U7	ENSG00000275635	22	23137805	23137864	-	23137864	chr22	23480051
RAB36	ENSG00000100228	22	23145326	23164350	+	23145326	chr22	23487513
BCR	ENSG00000186716	22	23179704	23318037	+	23179704	chr22	23521891
BCRP8	ENSG00000236794	22	23179918	23180172	-	23180172	chr22	23522359
RN7SL263P	ENSG00000240160	22	23261782	23262071	-	23262071	chr22	23604258
FBXW4P1	ENSG00000230701	22	23262767	23265005	+	23262767	chr22	23604954
AP000343.1	ENSG00000214526	22	23322543	23322927	-	23322927	chr22	23665114
LINC02556	ENSG00000236611	22	23326616	23328493	+	23326616	chr22	23668803
CES5AP1	ENSG00000215478	22	23359603	23387731	-	23387731	chr22	23729918
ZDHHC8P1	ENSG00000133519	22	23390606	23402726	-	23402726	chr22	23744913
AP000344.2	ENSG00000248409	22	23392771	23393839	+	23392771	chr22	23734958
LINC01659	ENSG00000234928	22	23433564	23435071	+	23433564	chr22	23775751
AP000344.1	ENSG00000227755	22	23446598	23460833	+	23446598	chr22	23788785
LINC01658	ENSG00000178248	22	23462086	23486980	-	23486980	chr22	23829167
LINC02557	ENSG00000225413	22	23512494	23513602	-	23513602	chr22	23855789
PCAT14	ENSG00000280623	22	23536881	23547797	+	23536881	chr22	23879068
AP000345.1	ENSG00000224277	22	23567064	23573507	+	23567064	chr22	23909251
IGLL1	ENSG00000128322	22	23573125	23580308	-	23580308	chr22	23922495
AP000345.2	ENSG00000272733	22	23580880	23583859	-	23583859	chr22	23926046
AP000346.4	ENSG00000278655	22	23607041	23608407	+	23607041	chr22	23949228
DRICH1	ENSG00000189269	22	23608452	23632321	-	23632321	chr22	23974508
AP000346.3	ENSG00000275609	22	23610329	23610538	+	23610329	chr22	23952516
AP000346.1	ENSG00000211683	22	23630618	23638941	-	23638941	chr22	23981128
GUSBP11	ENSG00000228315	22	23638487	23717356	-	23717356	chr22	24059543
AP000346.2	ENSG00000234353	22	23638492	23640762	-	23640762	chr22	23982949
ASLP1	ENSG00000244723	22	23649213	23653334	-	23653334	chr22	23995521
AP000347.2	ENSG00000273000	22	23652860	23717347	-	23717347	chr22	24059534
AP000347.1	ENSG00000272578	22	23658094	23717356	-	23717356	chr22	24059543
RGL4	ENSG00000159496	22	23688136	23699176	+	23688136	chr22	24030323
ZNF70	ENSG00000187792	22	23738678	23751092	-	23751092	chr22	24093279
VPREB3	ENSG00000128218	22	23752743	23754468	-	23754468	chr22	24096655
C22orf15	ENSG00000169314	22	23763021	23765861	+	23763021	chr22	24105208
CHCHD10	ENSG00000250479	22	23765834	23768443	-	23768443	chr22	24110630
MMP11	ENSG00000099953	22	23768226	23784316	+	23768226	chr22	24110413
SMARCB1	ENSG00000099956	22	23786963	23834516	+	23786963	chr22	24129150
DERL3	ENSG00000099958	22	23834503	23839128	-	23839128	chr22	24181315
AP000350.5	ENSG00000272973	22	23856427	23857039	-	23857039	chr22	24199226
SLC2A11	ENSG00000133460	22	23856703	23886309	+	23856703	chr22	24198890
AP000350.4	ENSG00000251357	22	23862188	23895223	+	23862188	chr22	24204375
AP000350.7	ENSG00000279467	22	23865248	23873277	-	23873277	chr22	24215464
RN7SL268P	ENSG00000244425	22	23879493	23879790	-	23879790	chr22	24221977
MIF	ENSG00000240972	22	23894004	23895227	+	23894004	chr22	24236191
MIF-AS1	ENSG00000218537	22	23894426	23898930	-	23898930	chr22	24241117
AP000350.6	ENSG00000273295	22	23901432	23907068	-	23907068	chr22	24249255
AP000350.2	ENSG00000225282	22	23926900	23929574	+	23926900	chr22	24269087
AP000350.1	ENSG00000206090	22	23939998	23942798	+	23939998	chr22	24282185
AP000350.3	ENSG00000231271	22	23949918	23954042	+	23949918	chr22	24292105
GSTT2B	ENSG00000133433	22	23957414	23961186	-	23961186	chr22	24303373
AC253536.2	ENSG00000228039	22	23963780	23964374	+	23963780	chr22	24305967
DDTL	ENSG00000099974	22	23966901	23972532	+	23966901	chr22	24309089
AC253536.6	ENSG00000272787	22	23969211	23969873	+	23969211	chr22	24311400
DDT	ENSG00000099977	22	23971365	23980469	-	23980469	chr22	24322660
AC253536.5	ENSG00000250470	22	23976904	23977585	-	23977585	chr22	24319776
GSTT2	ENSG00000099984	22	23980058	23983915	+	23980058	chr22	24322249
AC253536.1	ENSG00000224205	22	23987320	23991421	-	23991421	chr22	24333615
GSTTP1	ENSG00000276950	22	23998401	24005453	-	24005453	chr22	24401899
AC253536.4	ENSG00000235689	22	24006305	24008258	-	24008258	chr22	24404704
CABIN1	ENSG00000099991	22	24011192	24178628	+	24011192	chr22	24407642
AC253536.3	ENSG00000232545	22	24101689	24103354	+	24101689	chr22	24497652
SUSD2	ENSG00000099994	22	24181259	24189110	+	24181259	chr22	24577227
GGT5	ENSG00000099998	22	24219654	24245142	-	24245142	chr22	24641110
GGTLC4P	ENSG00000230712	22	24248074	24249466	-	24249466	chr22	24645434
POM121L9P	ENSG00000128262	22	24251828	24265525	+	24251828	chr22	24647796
BCRP1	ENSG00000225098	22	24259929	24263764	-	24263764	chr22	24659732
AP000354.1	ENSG00000215464	22	24269346	24270134	-	24270134	chr22	24666102
SPECC1L	ENSG00000100014	22	24270817	24417740	+	24270817	chr22	24666785
SPECC1L-ADORA2A	ENSG00000258555	22	24270898	24442356	+	24270898	chr22	24666866
ADORA2A	ENSG00000128271	22	24417879	24442360	+	24417879	chr22	24813847
ADORA2A-AS1	ENSG00000178803	22	24429206	24495074	-	24495074	chr22	24891042
UPB1	ENSG00000100024	22	24494107	24528390	+	24494107	chr22	24890075
AP000355.1	ENSG00000228923	22	24516508	24518386	+	24516508	chr22	24912476
GUCD1	ENSG00000138867	22	24540423	24555935	-	24555935	chr22	24951903
SNRPD3	ENSG00000100028	22	24555503	24609980	+	24555503	chr22	24951471
GGT1	ENSG00000100031	22	24583750	24629005	+	24583750	chr22	24979718
LRRC75B	ENSG00000178026	22	24585620	24593208	-	24593208	chr22	24989175
AP000356.1	ENSG00000230947	22	24598054	24599398	+	24598054	chr22	24994021
BCRP3	ENSG00000215481	22	24632915	24650012	+	24632915	chr22	25028882
AP000356.4	ENSG00000284233	22	24633272	24633443	+	24633272	chr22	25029239
AP000356.3	ENSG00000284128	22	24644791	24653356	+	24644791	chr22	25040758
AP000356.2	ENSG00000284070	22	24645171	24651657	-	24651657	chr22	25047624
POM121L10P	ENSG00000224124	22	24657481	24658765	-	24658765	chr22	25054732
ARL5AP4	ENSG00000224806	22	24686168	24686679	+	24686168	chr22	25082135
AP000357.1	ENSG00000224334	22	24686923	24688087	+	24686923	chr22	25082890
AP000357.2	ENSG00000282012	22	24691122	24696003	-	24696003	chr22	25091970
AP000358.1	ENSG00000237601	22	24703348	24703503	+	24703348	chr22	25099315
CRIP1P4	ENSG00000182351	22	24712292	24712520	+	24712292	chr22	25108259
PIWIL3	ENSG00000184571	22	24719034	24774720	-	24774720	chr22	25170687
SGSM1	ENSG00000167037	22	24806169	24927578	+	24806169	chr22	25202136
SNORD56	ENSG00000199783	22	24901147	24901214	-	24901214	chr22	25297181
TMEM211	ENSG00000206069	22	24934954	24946695	-	24946695	chr22	25342662
KIAA1671	ENSG00000197077	22	24952730	25197448	+	24952730	chr22	25348697
AL022323.3	ENSG00000279085	22	25009685	25015072	-	25015072	chr22	25411039
AL022323.5	ENSG00000279548	22	25022594	25024652	-	25024652	chr22	25420619
AL022323.2	ENSG00000279006	22	25048967	25051966	-	25051966	chr22	25447933
AL022323.4	ENSG00000279110	22	25052122	25065241	-	25065241	chr22	25461208
AL022323.1	ENSG00000203280	22	25102433	25112692	-	25112692	chr22	25508659
Z99916.2	ENSG00000271181	22	25179309	25179554	-	25179554	chr22	25575521
CRYBB3	ENSG00000100053	22	25199850	25207363	+	25199850	chr22	25595817
Z99916.1	ENSG00000236641	22	25212742	25213685	+	25212742	chr22	25608709
CRYBB2	ENSG00000244752	22	25219522	25231869	+	25219522	chr22	25615489
Z99916.3	ENSG00000279298	22	25251523	25252602	-	25252602	chr22	25648569
AL022332.1	ENSG00000233577	22	25279529	25282674	-	25282674	chr22	25678641
IGLL3P	ENSG00000206066	22	25318256	25320080	+	25318256	chr22	25714223
AL022324.1	ENSG00000230637	22	25327252	25339975	+	25327252	chr22	25723219
AL022324.2	ENSG00000231466	22	25349543	25350322	-	25350322	chr22	25746289
LRP5L	ENSG00000100068	22	25351418	25405377	-	25405377	chr22	25801344
AL022324.3	ENSG00000272942	22	25434324	25435070	-	25435070	chr22	25831037
AL008721.1	ENSG00000272798	22	25436312	25436915	+	25436312	chr22	25832279
IGLVIVOR22-1	ENSG00000271138	22	25437306	25437823	-	25437823	chr22	25833790
CRYBB2P1	ENSG00000100058	22	25448105	25520854	+	25448105	chr22	25844072
MIR6817	ENSG00000277872	22	25455646	25455711	+	25455646	chr22	25851613
AL008721.2	ENSG00000272977	22	25476218	25479971	+	25476218	chr22	25872185
AL022329.1	ENSG00000234884	22	25561117	25564462	-	25564462	chr22	25960429
GRK3	ENSG00000100077	22	25564849	25729294	+	25564849	chr22	25960816
AL022329.2	ENSG00000237387	22	25580241	25581382	-	25581382	chr22	25977349
YES1P1	ENSG00000224003	22	25647261	25649232	+	25647261	chr22	26043228
RNA5SP494	ENSG00000222585	22	25715041	25715169	-	25715169	chr22	26111136
MYO18B	ENSG00000133454	22	25742144	26031041	+	25742144	chr22	26138111
AL022329.3	ENSG00000278960	22	25756318	25756669	-	25756669	chr22	26152636
Z98949.1	ENSG00000231933	22	25876854	25903247	-	25903247	chr22	26299214
Z98949.3	ENSG00000232464	22	25959074	25983526	-	25983526	chr22	26379492
RN7SKP169	ENSG00000223056	22	25963983	25964273	-	25964273	chr22	26360239
Z98949.2	ENSG00000232050	22	26006389	26006532	-	26006532	chr22	26402498
LINC02559	ENSG00000236464	22	26161834	26164303	+	26161834	chr22	26557800
AL022337.1	ENSG00000229770	22	26161910	26163214	-	26163214	chr22	26559180
SEZ6L	ENSG00000100095	22	26169474	26383597	+	26169474	chr22	26565440
AL080273.1	ENSG00000224192	22	26241331	26254092	-	26254092	chr22	26650058
RNA5SP495	ENSG00000252267	22	26390667	26390776	-	26390776	chr22	26786742
Z99714.1	ENSG00000230203	22	26422071	26423193	-	26423193	chr22	26819159
ASPHD2	ENSG00000128203	22	26429273	26445015	+	26429273	chr22	26825239
HPS4	ENSG00000100099	22	26443423	26483837	-	26483837	chr22	26879803
SRRD	ENSG00000100104	22	26483877	26494658	+	26483877	chr22	26879843
TFIP11	ENSG00000100109	22	26491225	26512505	-	26512505	chr22	26908471
Z95115.1	ENSG00000261188	22	26512537	26514568	+	26512537	chr22	26908503
TPST2	ENSG00000128294	22	26521983	26596717	-	26596717	chr22	26992681
MIR548J	ENSG00000221760	22	26555212	26555323	-	26555323	chr22	26951289
HMGB1P10	ENSG00000213707	22	26560526	26561088	+	26560526	chr22	26956492
CRYBB1	ENSG00000100122	22	26599278	26618088	-	26618088	chr22	27014052
CRYBA4	ENSG00000196431	22	26621964	26630672	+	26621964	chr22	27017928
ISCA2P1	ENSG00000226912	22	26644889	26645336	-	26645336	chr22	27041300
MIAT	ENSG00000225783	22	26646428	26676475	+	26646428	chr22	27042392
MIAT_exon1	ENSG00000278404	22	26657521	26657655	+	26657521	chr22	27053485
Z99774.1	ENSG00000206028	22	26667693	26672654	-	26672654	chr22	27068617
MIAT_exon5_1	ENSG00000277941	22	26671402	26671550	+	26671402	chr22	27067365
MIAT_exon5_2	ENSG00000275942	22	26672164	26672248	+	26672164	chr22	27068127
MIATNB	ENSG00000244625	22	26672767	26780207	+	26672767	chr22	27068730
MIAT_exon5_3	ENSG00000276991	22	26673254	26673630	+	26673254	chr22	27069217
LINC01422	ENSG00000223704	22	26858634	26865786	+	26858634	chr22	27254597
Z97353.1	ENSG00000231369	22	26886909	26887548	-	26887548	chr22	27283511
LINC01422	ENSG00000235271	22	26903292	26920611	+	26903292	chr22	27299255
AL008638.3	ENSG00000279440	22	27019369	27024550	+	27019369	chr22	27415332
RNU6-1066P	ENSG00000200443	22	27035887	27035991	+	27035887	chr22	27431850
AL008638.5	ENSG00000279914	22	27040197	27041494	+	27040197	chr22	27436159
AL008638.4	ENSG00000279848	22	27044001	27045315	+	27044001	chr22	27439963
AL008638.2	ENSG00000236858	22	27048144	27060518	-	27060518	chr22	27456480
AL008638.6	ENSG00000280025	22	27102766	27107019	+	27102766	chr22	27498728
AL008638.1	ENSG00000231405	22	27143478	27159878	+	27143478	chr22	27539439
AL021153.1	ENSG00000238195	22	27204211	27205126	+	27204211	chr22	27600173
LINC01638	ENSG00000233521	22	27221349	27224727	-	27224727	chr22	27620688
AL020994.3	ENSG00000233574	22	27276240	27286349	+	27276240	chr22	27672201
AL020994.1	ENSG00000223726	22	27307483	27318538	-	27318538	chr22	27714499
LINC02554	ENSG00000226741	22	27310651	27317456	+	27310651	chr22	27706612
AL020994.2	ENSG00000230051	22	27331787	27379265	+	27331787	chr22	27727748
AL049536.1	ENSG00000280445	22	27414462	27419713	-	27419713	chr22	27815674
AL050402.1	ENSG00000227880	22	27457247	27460060	-	27460060	chr22	27856021
AL133456.1	ENSG00000224027	22	27563839	27573573	-	27573573	chr22	27969534
AL121885.2	ENSG00000227838	22	27676559	27714970	-	27714970	chr22	28110959
AL121885.3	ENSG00000231495	22	27707580	27709931	+	27707580	chr22	28103578
AL121885.1	ENSG00000226169	22	27716480	27721677	+	27716480	chr22	28112468
MN1	ENSG00000169184	22	27748277	27801498	-	27801498	chr22	28197486
PITPNB	ENSG00000180957	22	27851669	27920134	-	27920134	chr22	28316122
TTC28-AS1	ENSG00000235954	22	27919376	28008581	+	27919376	chr22	28315364
TTC28-AS1_1	ENSG00000277460	22	27919384	27919545	+	27919384	chr22	28315372
MIR3199-1	ENSG00000264073	22	27920525	27920612	-	27920612	chr22	28316600
MIR3199-2	ENSG00000283225	22	27920526	27920611	+	27920526	chr22	28316514
TTC28-AS1_2	ENSG00000276150	22	27922022	27922178	+	27922022	chr22	28318010
TTC28	ENSG00000100154	22	27978014	28679865	-	28679865	chr22	29075853
TTC28-AS1_3	ENSG00000274342	22	27994474	27994654	+	27994474	chr22	28390462
TTC28-AS1_4	ENSG00000276675	22	28002484	28002595	+	28002484	chr22	28398472
RN7SL757P	ENSG00000239249	22	28056153	28056453	-	28056453	chr22	28452441
SNORD42	ENSG00000201209	22	28232756	28232823	-	28232823	chr22	28628811
Y_RNA	ENSG00000199797	22	28303754	28303850	+	28303754	chr22	28699742
MIR5739	ENSG00000276162	22	28459869	28459948	+	28459869	chr22	28855857
RN7SL162P	ENSG00000266503	22	28642979	28643270	-	28643270	chr22	29039258
CHEK2	ENSG00000183765	22	28687743	28742422	-	28742422	chr22	29138410
HSCB	ENSG00000100209	22	28742031	28757515	+	28742031	chr22	29138019
CCDC117	ENSG00000159873	22	28772674	28789301	+	28772674	chr22	29168662
XBP1	ENSG00000100219	22	28794555	28800597	-	28800597	chr22	29196585
Z93930.2	ENSG00000226471	22	28800683	28848559	+	28800683	chr22	29196671
Z93930.3	ENSG00000272858	22	28814914	28815662	+	28814914	chr22	29210902
Z93930.1	ENSG00000224256	22	28835893	28836137	-	28836137	chr22	29232125
ZNRF3	ENSG00000183579	22	28883592	29057487	+	28883592	chr22	29279580
ZNRF3-IT1	ENSG00000235786	22	28992721	29018620	+	28992721	chr22	29388709
ZNRF3-AS1	ENSG00000177993	22	29024999	29031476	-	29031476	chr22	29427464
C22orf31	ENSG00000100249	22	29058672	29061844	-	29061844	chr22	29457832
KREMEN1	ENSG00000183762	22	29073078	29168333	+	29073078	chr22	29469066
AL021393.1	ENSG00000226772	22	29099041	29111683	-	29111683	chr22	29507671
RNU6-810P	ENSG00000200871	22	29134014	29134120	+	29134014	chr22	29530002
RNU6-1219P	ENSG00000251952	22	29191697	29191808	-	29191808	chr22	29587796
EMID1	ENSG00000186998	22	29205851	29259597	+	29205851	chr22	29601840
RHBDD3	ENSG00000100263	22	29259852	29268209	-	29268209	chr22	29664198
AL031186.1	ENSG00000237015	22	29260889	29262037	+	29260889	chr22	29656878
EWSR1	ENSG00000182944	22	29268009	29300525	+	29268009	chr22	29663998
GAS2L1	ENSG00000185340	22	29306582	29312785	+	29306582	chr22	29702572
RASL10A	ENSG00000100276	22	29312933	29319679	-	29319679	chr22	29715668
AC002059.1	ENSG00000273216	22	29316744	29317220	-	29317220	chr22	29713209
AP1B1	ENSG00000100280	22	29327680	29423179	-	29423179	chr22	29819168
MIR3653	ENSG00000280968	22	29333158	29333267	-	29333267	chr22	29729256
SNORD125	ENSG00000239127	22	29333163	29333258	-	29333258	chr22	29729247
AC000041.1	ENSG00000242156	22	29419155	29423193	-	29423193	chr22	29819182
RFPL4AP6	ENSG00000278292	22	29432944	29435005	+	29432944	chr22	29828933
RFPL1S	ENSG00000225465	22	29436534	29478175	-	29478175	chr22	29874164
AC000041.2	ENSG00000274457	22	29437583	29437733	+	29437583	chr22	29833572
RFPL1	ENSG00000128250	22	29438583	29442455	+	29438583	chr22	29834572
AC000035.1	ENSG00000282816	22	29480220	29481113	-	29481113	chr22	29877102
NEFH	ENSG00000100285	22	29480230	29491390	+	29480230	chr22	29876219
THOC5	ENSG00000100296	22	29505879	29555216	-	29555216	chr22	29951205
AC005529.1	ENSG00000234208	22	29513889	29535390	-	29535390	chr22	29931379
NIPSNAP1	ENSG00000184117	22	29554808	29581337	-	29581337	chr22	29977326
NF2	ENSG00000186575	22	29603556	29698598	+	29603556	chr22	29999545
RPEP4	ENSG00000233010	22	29608900	29609501	+	29608900	chr22	30004889
AC004882.1	ENSG00000232396	22	29705256	29719859	-	29719859	chr22	30115848
AC004882.2	ENSG00000239446	22	29711820	29719714	-	29719714	chr22	30115703
CABP7	ENSG00000100314	22	29720084	29731839	+	29720084	chr22	30116073
ZMAT5	ENSG00000100319	22	29730956	29767011	-	29767011	chr22	30163000
Y_RNA	ENSG00000200976	22	29758758	29758859	+	29758758	chr22	30154747
UQCR10	ENSG00000184076	22	29767369	29770413	+	29767369	chr22	30163358
ASCC2	ENSG00000100325	22	29788608	29838304	-	29838304	chr22	30234293
MTMR3	ENSG00000100330	22	29883155	30030866	+	29883155	chr22	30279144
RNU6-331P	ENSG00000207455	22	29899587	29899693	-	29899693	chr22	30295682
AC003681.1	ENSG00000279159	22	29978950	30028236	-	30028236	chr22	30424225
MIR6818	ENSG00000275818	22	30007049	30007113	+	30007049	chr22	30403038
HORMAD2-AS1	ENSG00000227117	22	30008742	30080480	-	30080480	chr22	30476469
CNN2P1	ENSG00000227201	22	30046276	30047193	-	30047193	chr22	30443182
HORMAD2	ENSG00000176635	22	30080174	30177075	+	30080174	chr22	30476163
AC003071.2	ENSG00000226573	22	30105094	30105408	-	30105408	chr22	30501397
AC003071.1	ENSG00000225971	22	30136673	30137681	-	30137681	chr22	30533670
AC002378.1	ENSG00000225676	22	30184644	30207109	-	30207109	chr22	30603098
LIF-AS1	ENSG00000232530	22	30239194	30240538	+	30239194	chr22	30635183
LIF	ENSG00000128342	22	30240447	30246851	-	30246851	chr22	30642840
AC004264.1	ENSG00000268812	22	30246205	30246998	+	30246205	chr22	30642194
OSM	ENSG00000099985	22	30262829	30266840	-	30266840	chr22	30662829
AC004264.2	ENSG00000279699	22	30275215	30276951	-	30276951	chr22	30672940
CASTOR1	ENSG00000239282	22	30285117	30289627	-	30289627	chr22	30685616
AC004997.1	ENSG00000248751	22	30285238	30299482	-	30299482	chr22	30695471
TBC1D10A	ENSG00000099992	22	30291990	30327046	-	30327046	chr22	30723035
SF3A1	ENSG00000099995	22	30331988	30356947	-	30356947	chr22	30752936
CCDC157	ENSG00000187860	22	30356635	30378658	+	30356635	chr22	30752624
RNF215	ENSG00000099999	22	30368811	30421771	-	30421771	chr22	30817760
SEC14L2	ENSG00000100003	22	30396857	30425317	+	30396857	chr22	30792846
AC004832.3	ENSG00000249590	22	30409255	30428990	+	30409255	chr22	30805244
AC004832.5	ENSG00000273350	22	30420512	30420912	+	30420512	chr22	30816501
RNU6-564P	ENSG00000222915	22	30421045	30421148	+	30421045	chr22	30817034
AC004832.4	ENSG00000272689	22	30421206	30421536	-	30421536	chr22	30817525
MTFP1	ENSG00000242114	22	30425530	30429053	+	30425530	chr22	30821518
AC004832.6	ENSG00000273428	22	30435544	30436247	+	30435544	chr22	30831531
AC004832.2	ENSG00000230137	22	30439837	30440318	+	30439837	chr22	30835824
SEC14L3	ENSG00000100012	22	30447959	30472049	-	30472049	chr22	30868036
AC004832.1	ENSG00000181123	22	30475364	30492804	+	30475364	chr22	30871351
SDC4P	ENSG00000214161	22	30481311	30481911	-	30481911	chr22	30877898
SEC14L4	ENSG00000133488	22	30488913	30505711	-	30505711	chr22	30901698
SEC14L6	ENSG00000214491	22	30522799	30546682	-	30546682	chr22	30942669
SIRPAP1	ENSG00000225774	22	30542536	30544305	+	30542536	chr22	30938523
GAL3ST1	ENSG00000128242	22	30554635	30574587	-	30574587	chr22	30970574
PES1	ENSG00000100029	22	30576625	30607083	-	30607083	chr22	31003070
AC005006.1	ENSG00000223831	22	30598309	30606687	+	30598309	chr22	30994296
TCN2	ENSG00000185339	22	30606838	30627278	+	30606838	chr22	31002825
SLC35E4	ENSG00000100036	22	30635652	30669016	+	30635652	chr22	31031639
DUSP18	ENSG00000167065	22	30652051	30667890	-	30667890	chr22	31063877
AC003072.1	ENSG00000250318	22	30653877	30654814	-	30654814	chr22	31050801
OSBP2	ENSG00000184792	22	30693782	30907824	+	30693782	chr22	31089769
MIR3200	ENSG00000264661	22	30731557	30731641	+	30731557	chr22	31127544
EIF4HP2	ENSG00000237977	22	30902219	30902781	+	30902219	chr22	31298206
MORC2-AS1	ENSG00000235989	22	30922308	30932449	+	30922308	chr22	31318295
MORC2	ENSG00000133422	22	30925130	30968298	-	30968298	chr22	31364284
TUG1	ENSG00000253352	22	30970677	30979395	+	30970677	chr22	31366663
TUG1_1	ENSG00000276664	22	30971005	30971149	+	30971005	chr22	31366991
TUG1_2	ENSG00000276057	22	30971296	30971382	+	30971296	chr22	31367282
TUG1_3	ENSG00000276965	22	30972857	30973093	+	30972857	chr22	31368843
TUG1_4	ENSG00000275307	22	30973417	30973597	+	30973417	chr22	31369403
AC004542.2	ENSG00000269987	22	30976515	30978848	-	30978848	chr22	31374834
AC004542.1	ENSG00000269972	22	30977516	30977858	-	30977858	chr22	31373844
AC005005.4	ENSG00000278920	22	31051630	31068327	+	31051630	chr22	31447616
RN7SL633P	ENSG00000240186	22	31059989	31060285	+	31059989	chr22	31455975
SMTN	ENSG00000183963	22	31064105	31104757	+	31064105	chr22	31460091
AC005005.3	ENSG00000273387	22	31082156	31083565	-	31083565	chr22	31479551
SELENOM	ENSG00000198832	22	31104772	31120069	-	31120069	chr22	31516055
AC005005.2	ENSG00000235573	22	31113017	31113396	+	31113017	chr22	31509003
INPP5J	ENSG00000185133	22	31122731	31134696	+	31122731	chr22	31518717
PLA2G3	ENSG00000100078	22	31134809	31140607	-	31140607	chr22	31536593
AC005005.1	ENSG00000214125	22	31155966	31156647	-	31156647	chr22	31552633
MIR3928	ENSG00000264141	22	31160062	31160119	-	31160119	chr22	31556105
RNF185	ENSG00000138942	22	31160183	31207019	+	31160183	chr22	31556169
RNF185-AS1	ENSG00000254835	22	31205264	31205616	-	31205616	chr22	31601602
LIMK2	ENSG00000182541	22	31212239	31280080	+	31212239	chr22	31608225
RNU6-1128P	ENSG00000199695	22	31222745	31222853	-	31222853	chr22	31618839
Y_RNA	ENSG00000202019	22	31230071	31230172	-	31230172	chr22	31626158
PIK3IP1	ENSG00000100100	22	31281593	31292534	-	31292534	chr22	31688520
PIK3IP1-AS1	ENSG00000228839	22	31292499	31338021	+	31292499	chr22	31688485
RNA5SP496	ENSG00000212542	22	31305404	31305512	+	31305404	chr22	31701390
PATZ1	ENSG00000100105	22	31325804	31346232	-	31346232	chr22	31742218
LINC01521	ENSG00000213888	22	31346777	31348719	+	31346777	chr22	31742763
RNU6-338P	ENSG00000206615	22	31388733	31388837	-	31388837	chr22	31784823
DRG1	ENSG00000185721	22	31399523	31530634	+	31399523	chr22	31795509
EIF4ENIF1	ENSG00000184708	22	31436977	31496108	-	31496108	chr22	31892094
AL096701.3	ENSG00000240591	22	31454251	31464204	+	31454251	chr22	31850237
RNU6-28P	ENSG00000199248	22	31479383	31479489	-	31479489	chr22	31875475
SFI1	ENSG00000198089	22	31488688	31618586	+	31488688	chr22	31884674
H2AFZP6	ENSG00000233733	22	31521199	31521592	-	31521592	chr22	31917578
AL096701.2	ENSG00000229169	22	31538352	31538589	-	31538589	chr22	31934575
AL096701.1	ENSG00000214093	22	31559483	31559939	+	31559483	chr22	31955469
PISD	ENSG00000241878	22	31618491	31662432	-	31662432	chr22	32058418
MIR7109	ENSG00000284082	22	31621467	31621531	-	31621531	chr22	32017517
PRR14L	ENSG00000183530	22	31676256	31750140	-	31750140	chr22	32146126
DEPDC5	ENSG00000100150	22	31753951	31907034	+	31753951	chr22	32149937
RN7SL20P	ENSG00000242251	22	31757202	31757498	+	31757202	chr22	32153188
AL022331.1	ENSG00000236132	22	31816379	31817491	-	31817491	chr22	32213477
RNU6-201P	ENSG00000252909	22	31837238	31837298	+	31837238	chr22	32233224
Z82190.1	ENSG00000227813	22	31890344	31891434	-	31891434	chr22	32287420
C22orf24	ENSG00000128254	22	31933521	31945518	-	31945518	chr22	32341504
YWHAH	ENSG00000128245	22	31944461	31957603	+	31944461	chr22	32340447
AL008719.1	ENSG00000227519	22	31963357	31970400	+	31963357	chr22	32359344
LINC02558	ENSG00000230866	22	31970823	31973475	+	31970823	chr22	32366810
RN7SL305P	ENSG00000240647	22	31981147	31981427	-	31981427	chr22	32377414
Z74021.1	ENSG00000232346	22	32039490	32039896	+	32039490	chr22	32435477
SLC5A1	ENSG00000100170	22	32043032	32113029	+	32043032	chr22	32439019
